FBgn_mel	gene_symbol_mel	scaffold_mel	location_mel	strand_mel	FBgn_sim	gene_symbol_sim	scaffold_sim	location_sim	strand_sim	orthoDB_ID_sim	gene_symbol_yak	scaffold_yak	location_yak	strand_yak	FBgn_yak	orthoDB_ID_yak
3060	FBgn0030669	CG9240	X	15700172..15701259	-1	FBgn0187445	Dsim\GD15786	Scf_X	14759484..14760832	-1	EOG09190GVY	CG9240	X	15700172..15701259	-1	FBgn0233583	Dyak\GE16031
3061	FBgn0030670	Pis	X	15701451..15703770	-1	FBgn0068670	Dsim\GD15785	Scf_X	14760981..14763065	-1	EOG09190EIZ	Pis	X	15701451..15703770	-1	FBgn0233582	Dyak\GE16030
3062	FBgn0030671	CG8134	X	15704125..15705806	1	FBgn0269286	Dsim\GD27996	Scf_X	14763325..14765003	1	EOG09190BTJ	CG8134	X	15704125..15705806	1	FBgn0234685	Dyak\GE17207
3063	FBgn0030672	CG9281	X	15705806..15710539	-1	FBgn0187444	Dsim\GD15784	Scf_X	14765806..14769916	-1	EOG091904Z6	CG9281	X	15705806..15710539	-1	FBgn0233580	Dyak\GE16028
3064	FBgn0030673	CG15601	X	15710647..15712309	1	FBgn0188792	Dsim\GD17229	Scf_X	14770019..14771599	1	EOG09190FIC	CG15601	X	15710647..15712309	1	FBgn0234686	Dyak\GE17208
3065	FBgn0030674	HUWE1	X	15712628..15731935	1	FBgn0188793	Dsim\GD17230	Scf_X	14772050..14791776	1	EOG09190018	HUWE1	X	15712628..15731935	1	FBgn0234687	Dyak\GE17209
3066	FBgn0030675	CG8191	X	15732178..15733663	1	FBgn0188794	Dsim\GD17231	Scf_X	14791991..14793519	1	EOG09190ACM	CG8191	X	15732178..15733663	1	FBgn0234689	Dyak\GE17211
3067	FBgn0030676	CG12379	X	15733222..15733996	-1	FBgn0187443	Dsim\GD15783	Scf_X	14793077..14793871	-1	EOG09190I9S	CG12379	X	15733222..15733996	-1	FBgn0233579	Dyak\GE16027
3068	FBgn0030678	CG11679	X	15737493..15738954	-1	FBgn0187441	Dsim\GD15781	Scf_X	14797230..14798790	-1	EOG091908VC	CG11679	X	15737493..15738954	-1	FBgn0233577	Dyak\GE16025
3069	FBgn0030679	CG8206	X	15739230..15740417	1	FBgn0188796	Dsim\GD17233	Scf_X	14798942..14799990	1	EOG09190HWG	CG8206	X	15739230..15740417	1	FBgn0234691	Dyak\GE17213
3070	FBgn0030680	CG8944	X	15741343..15746231	-1	FBgn0187440	Dsim\GD15780	Scf_X	14801327..14806086	-1	EOG09190389	CG8944	X	15741343..15746231	-1	FBgn0233576	Dyak\GE16024
3071	FBgn0030683	Mvd	X	15749166..15751737	1	FBgn0270811	Dsim\GD29521	Scf_X	14808758..14810817	1	EOG091909TG	Mvd	X	15749166..15751737	1	FBgn0234693	Dyak\GE17215
3072	FBgn0030684	CG8260	X	15756318..15757767	1	FBgn0270182	Dsim\GD28892	Scf_X	14816317..14817889	1	EOG091909N5	CG8260	X	15756318..15757767	1	FBgn0234694	Dyak\GE17216
3073	FBgn0030685	Graf	X	15751674..15760733	-1	FBgn0195833	Dsim\GD24498	Scf_X	14811991..14820675	-1	EOG091901PI	Graf	X	15751674..15760733	-1	FBgn0233575	Dyak\GE16023
3074	FBgn0030686	mRpL3	X	15761248..15762663	1	FBgn0188799	Dsim\GD17236	Scf_X	14821266..14822867	1	EOG091909ME	mRpL3	X	15761248..15762663	1	FBgn0234695	Dyak\GE17217
3075	FBgn0030687	RpIIIC160	X	15762956..15769514	1	FBgn0188802	Dsim\GD17239	Scf_X	14823020..14829477	1	EOG091900RK	RpIIIC160	X	15762956..15769514	1	FBgn0234696	Dyak\GE17218
3076	FBgn0030688	CG8952	X	15765470..15766445	-1	FBgn0187439	Dsim\GD15779	Scf_X	14825428..14826444	-1	EOG09190DI5	CG8952	X	15765470..15766445	-1	FBgn0233574	Dyak\GE16022
3077	FBgn0030691	Efhc1.1	X	15780398..15783710	-1	FBgn0187438	Dsim\GD15778	Scf_X	14840308..14843465	-1	EOG091902YL	Efhc1.1	X	15780398..15783710	-1	FBgn0233573	Dyak\GE16021
3078	FBgn0030692	mRpS30	X	15786047..15788288	1	FBgn0188806	Dsim\GD17243	Scf_X	14845673..14847877	1	EOG091905AQ	mRpS30	X	15786047..15788288	1	FBgn0234701	Dyak\GE17223
3079	FBgn0030694	CG15602	X	15799426..15800961	1	FBgn0196006	Dsim\GD24679	Scf_X	14855707..14857268	1	EOG09190B6S	CG15602	X	15799426..15800961	1	FBgn0234703	Dyak\GE17225
3080	FBgn0030695	PGRP-LE	X	15801153..15803880	-1	FBgn0196005	Dsim\GD24678	Scf_X	14857431..14859339	-1	EOG09190AX2	PGRP-LE	X	15801153..15803880	-1	FBgn0233569	Dyak\GE16017
3081	FBgn0030696	CG8509	X	15809555..15810947	1	FBgn0268167	Dsim\GD26877	Scf_X	14866004..14867449	1	EOG091907VK	CG8509	X	15809555..15810947	1	FBgn0234704	Dyak\GE17226
3082	FBgn0030697	CG8565	X	15837830..15841160	1	FBgn0270819	Dsim\GD29529	Scf_X	14998070..14999792	-1	EOG09190796	CG8565	X	15837830..15841160	1	FBgn0234683	Dyak\GE17205
3083	FBgn0030699	CG8578	X	15844476..15847858	1	FBgn0196007	Dsim\GD24680	Scf_X	14895599..14898671	1	EOG09190CF5	CG8578	X	15844476..15847858	1	FBgn0234706	Dyak\GE17228
3084	FBgn0030700	CG15914	X	15853421..15854970	1	FBgn0196008	Dsim\GD24681	Scf_X	14904599..14906127	1	EOG091909S1	CG15914	X	15853421..15854970	1	FBgn0234707	Dyak\GE17229
3085	FBgn0030701	CG16952	X	15870183..15875607	1	FBgn0188812	Dsim\GD17249	Scf_X	14921373..14926719	1	EOG091902KJ	CG16952	X	15870183..15875607	1	FBgn0234711	Dyak\GE17233
3086	FBgn0030703	MSBP	X	15887567..15890109	-1	FBgn0195998	Dsim\GD24671	Scf_X	14939040..14941475	-1	EOG09190H7K	MSBP	X	15887567..15890109	-1	FBgn0068206	Dyak\GE16009
3087	FBgn0030704	CG15916	X	15890589..15891547	1	FBgn0196009	Dsim\GD24682	Scf_X	14941834..14942806	1	EOG09190DWT	CG15916	X	15890589..15891547	1	FBgn0234712	Dyak\GE17234
3088	FBgn0030706	Lrp4	X	15910870..15921013	1	FBgn0188813	Dsim\GD17251	Scf_X	14962283..14972327	1	EOG09190072	Lrp4	X	15910870..15921013	1	FBgn0234714	Dyak\GE17236
3089	FBgn0030707	CG8916	X	15921955..15924558	1	FBgn0196143	Dsim\GD24823	Scf_X	14973214..14975774	1	EOG0919053C	CG8916	X	15921955..15924558	1	FBgn0234715	Dyak\GE17237
3090	FBgn0030710	CG8924	X	15941077..15944449	1	FBgn0188814	Dsim\GD17252	Scf_X	14992002..14995424	1	EOG091907O6	CG8924	X	15941077..15944449	1	FBgn0234717	Dyak\GE17239
3091	FBgn0030715	Or13a	X	15974425..15976706	1	FBgn0188820	Dsim\GD17258	Scf_X	15028233..15030336	1	EOG091908KD	Or13a	X	15974425..15976706	1	FBgn0234719	Dyak\GE17241
3092	FBgn0030716	CG9170	X	15977967..15982944	-1	FBgn0187429	Dsim\GD15768	Scf_X	15032997..15038019	-1	EOG0919017Y	CG9170	X	15977967..15982944	-1	FBgn0233553	Dyak\GE16000
3093	FBgn0030717	Slc25A46a	X	15983772..15985405	1	FBgn0188822	Dsim\GD17260	Scf_X	15038834..15040545	1	EOG091908GM	Slc25A46a	X	15983772..15985405	1	FBgn0234720	Dyak\GE17242
3094	FBgn0030718	ND-20	X	15985473..15986808	-1	FBgn0187428	Dsim\GD15767	Scf_X	15040799..15041767	-1	EOG09190FJ7	ND-20	X	15985473..15986808	-1	FBgn0233552	Dyak\GE15999
3095	FBgn0030719	eIF5	X	15987008..15991974	-1	FBgn0187427	Dsim\GD15766	Scf_X	15041964..15046937	-1	EOG091909Y4	eIF5	X	15987008..15991974	-1	FBgn0067979	Dyak\eIF5
3096	FBgn0030720	CG8939	X	15997016..15999698	1	FBgn0196145	Dsim\GD24825	Scf_X	15052021..15054778	1	EOG091904CL	CG8939	X	15997016..15999698	1	FBgn0234723	Dyak\GE17245
3097	FBgn0030722	CG12395	X	16061902..16062898	-1	FBgn0187426	Dsim\GD15765	Scf_X	15072298..15073321	-1	EOG09190E6T	CG12395	X	16061902..16062898	-1	FBgn0233549	Dyak\GE15995
3098	FBgn0030723	dpr18	X	16063738..16070304	1	FBgn0188826	Dsim\GD17264	Scf_X	15073964..15080332	1	EOG091906AN	dpr18	X	16063738..16070304	1	FBgn0234726	Dyak\GE17248
3099	FBgn0030724	Nipsnap	X	16070365..16073568	-1	FBgn0187424	Dsim\GD15763	Scf_X	15080418..15083604	-1	EOG09190CLK	Nipsnap	X	16070365..16073568	-1	FBgn0233548	Dyak\GE15994
3100	FBgn0030729	CG12507	X	16265242..16266537	-1	FBgn0268489	Dsim\GD27199	Scf_X	15251938..15253299	-1	EOG09190FI3	CG12507	X	16265242..16266537	-1	FBgn0233537	Dyak\GE15983
3101	FBgn0030731	Mfe2	X	16270951..16273815	1	FBgn0270666	Dsim\GD29376	Scf_X	15273268..15276128	1	EOG0919056H	Mfe2	X	16270951..16273815	1	FBgn0234730	Dyak\GE17252
3102	FBgn0030734	CG9911	X	16293853..16297718	-1	FBgn0187418	Dsim\GD15757	Scf_X	15296069..15298755	-1	EOG091908ND	CG9911	X	16293853..16297718	-1	FBgn0228837	Dyak\GE11008
3103	FBgn0030735	CG3632	X	16296671..16303308	1	FBgn0188835	Dsim\GD17273	Scf_X	15298838..15305297	1	EOG091900UD	CG3632	X	16296671..16303308	1	FBgn0228842	Dyak\GE11013
3104	FBgn0030738	CG9915	X	16309817..16313138	-1	FBgn0270228	Dsim\GD28938	Scf_X	15312040..15315156	-1	EOG09190AB3	CG9915	X	16309817..16313138	-1	FBgn0068184	Dyak\GE15980
3105	FBgn0030739	SWIP	X	16313709..16317750	1	FBgn0270166	Dsim\GD28876	Scf_X	15315711..15319756	1	EOG091901CC	SWIP	X	16313709..16317750	1	FBgn0234738	Dyak\GE17260
3106	FBgn0030740	CG9917	X	16321431..16323231	-1	FBgn0187417	Dsim\GD15756	Scf_X	15323520..15325340	-1	EOG09190F65	CG9917	X	16321431..16323231	-1	FBgn0233534	Dyak\GE15978
3107	FBgn0030742	CG9919	X	16328437..16330759	-1	FBgn0187416	Dsim\GD15755	Scf_X	15330546..15332789	-1	EOG09190CBK	CG9919	X	16328437..16330759	-1	FBgn0233533	Dyak\GE15977
3108	FBgn0030743	CG9921	X	16331281..16333600	-1	FBgn0187415	Dsim\GD15754	Scf_X	15333434..15335606	-1	EOG09190K0R	CG9921	X	16331281..16333600	-1	FBgn0233532	Dyak\GE15976
3109	FBgn0030744	CG9992	X	16381954..16384908	-1	FBgn0187413	Dsim\GD15752	Scf_X	15374181..15376915	-1	EOG09190C3X	CG9992	X	16381954..16384908	-1	FBgn0233529	Dyak\GE15973
3110	FBgn0030745	CG4239	X	16385278..16388702	1	FBgn0188844	Dsim\GD17283	Scf_X	15377365..15380632	1	EOG09190CUF	CG4239	X	16385278..16388702	1	FBgn0234746	Dyak\GE17269
3111	FBgn0030746	CG9981	X	16399782..16405122	-1	FBgn0195828	Dsim\GD24493	Scf_X	15391878..15396173	-1	EOG091902M6	CG9981	X	16399782..16405122	-1	FBgn0233527	Dyak\GE15971
3112	FBgn0030747	CG4301	X	16405509..16414651	1	FBgn0196155	Dsim\GD24836	Scf_X	15398771..15406267	1	EOG091900PK	CG4301	X	16405509..16414651	1	FBgn0234748	Dyak\GE17271
3113	FBgn0030748	Traf-like	X	16415046..16417585	1	FBgn0269054	Dsim\GD27764	Scf_X	15406754..15409238	1	EOG091908O4	Traf-like	X	16415046..16417585	1	FBgn0068013	Dyak\Traf3
3114	FBgn0030749	AnxB11	X	16416958..16422265	-1	FBgn0187411	Dsim\GD15750	Scf_X	15409092..15413884	-1	EOG09190B2W	AnxB11	X	16416958..16422265	-1	FBgn0233526	Dyak\GE15970
3115	FBgn0030752	CDC50	X	16438680..16441296	-1	FBgn0268450	Dsim\GD27160	Scf_X	15430745..15433218	-1	EOG09190AIM	CDC50	X	16438680..16441296	-1	FBgn0233525	Dyak\GE15969
3116	FBgn0030756	CG9903	X	16539153..16540852	-1	FBgn0187405	Dsim\GD15744	Scf_X	15523525..15525199	-1	EOG09190ARH	CG9903	X	16539153..16540852	-1	FBgn0233521	Dyak\GE15965
3117	FBgn0030759	CG13014	X	16587873..16588930	1	FBgn0188848	Dsim\GD17287	Scf_X	15570750..15571804	1	EOG09190FUE	CG13014	X	16587873..16588930	1	FBgn0234753	Dyak\GE17277
3118	FBgn0030761	CG9784	X	16595136..16599215	-1	FBgn0269151	Dsim\GD27861	Scf_X	15579673..15581666	-1	EOG091906DQ	CG9784	X	16595136..16599215	-1	FBgn0276635	Dyak\GE28480
3119	FBgn0030763	CG9782	X	16615028..16621589	-1	FBgn0187401	Dsim\GD15740	Scf_X	15598201..15604401	-1	EOG09190IKO	CG9782	X	16615028..16621589	-1	FBgn0233514	Dyak\GE15958
3120	FBgn0030766	mthl1	X	16640968..16650309	1	FBgn0188852	Dsim\GD17291	Scf_X	15623639..15632795	1	EOG091904D7	mthl1	X	16640968..16650309	1	FBgn0234757	Dyak\GE17283
3121	FBgn0030768	CG9723	X	16653220..16655015	-1	FBgn0187398	Dsim\GD15737	Scf_X	15635771..15637629	-1	EOG091907R0	CG9723	X	16653220..16655015	-1	FBgn0233511	Dyak\GE15955
3122	FBgn0030769	CG13012	X	16668818..16676753	-1	FBgn0269752	Dsim\GD28462	Scf_X	15651587..15659213	-1	EOG09190JRZ	CG13012	X	16668818..16676753	-1	FBgn0233508	Dyak\GE15952
3123	FBgn0030770	CG13010	X	16678265..16678945	-1	FBgn0187396	Dsim\GD15735	Scf_X	15660696..15661419	-1	EOG09190KC5	CG13010	X	16678265..16678945	-1	FBgn0233224	Dyak\GE15654
3124	FBgn0030775	CG9673	X	16702786..16703884	-1	FBgn0187389	Dsim\GD15728	Scf_X	15683256..15686199	-1	EOG0919096K	CG9673	X	16702786..16703884	-1	FBgn0233219	Dyak\GE15649
3125	FBgn0030776	CG4653	X	16704081..16705278	1	FBgn0188859	Dsim\GD17298	Scf_X	15686364..15687488	1	EOG09190GI6	CG4653	X	16704081..16705278	1	FBgn0235065	Dyak\GE17612
3126	FBgn0030777	CG9672	X	16705971..16706874	-1	FBgn0187388	Dsim\GD15727	Scf_X	15688255..15689354	-1	EOG09190E81	CG9672	X	16705971..16706874	-1	FBgn0233218	Dyak\GE15648
3127	FBgn0030778	CG4678	X	16696131..16711145	1	FBgn0196160	Dsim\GD24843	Scf_X	15678716..15693502	1	EOG0919067I	CG4678	X	16696131..16711145	1	FBgn0235066	Dyak\GE17613
3128	FBgn0030780	CG13008	X	16711303..16714372	1	FBgn0188857	Dsim\GD17296	Scf_X	15693587..15696735	1	EOG091909UU	CG13008	X	16711303..16714372	1	FBgn0235067	Dyak\GE17614
3129	FBgn0030786	mRpL22	X	16783933..16785092	1	FBgn0188867	Dsim\GD17306	Scf_X	15767219..15768366	1	EOG09190FZ6	mRpL22	X	16783933..16785092	1	FBgn0235076	Dyak\GE17623
3130	FBgn0030787	CG9609	X	16785115..16787008	-1	FBgn0187385	Dsim\GD15724	Scf_X	15768369..15770254	-1	EOG091909K4	CG9609	X	16785115..16787008	-1	FBgn0233213	Dyak\GE15643
3131	FBgn0030788	Sap30	X	16787283..16789644	1	FBgn0269870	Dsim\GD28580	Scf_X	15772016..15773143	1	EOG09190HTS	Sap30	X	16787283..16789644	1	FBgn0235077	Dyak\GE17624
3132	FBgn0030789	Rrp45	X	16789405..16791266	-1	FBgn0187383	Dsim\GD15722	Scf_X	15773486..15775559	-1	EOG091909WW	Rrp45	X	16789405..16791266	-1	FBgn0233212	Dyak\GE15642
3133	FBgn0030790	CG4768	X	16792119..16797742	1	FBgn0188869	Dsim\GD17308	Scf_X	15776410..15780111	1	EOG09190EQR	CG4768	X	16792119..16797742	1	FBgn0235078	Dyak\GE17625
3134	FBgn0030791	CG9132	X	16796902..16800710	-1	FBgn0187382	Dsim\GD15721	Scf_X	15781616..15784711	-1	EOG09190FD5	CG9132	X	16796902..16800710	-1	FBgn0233211	Dyak\GE15641
3135	FBgn0030792	CG4789	X	16800930..16802000	1	FBgn0188870	Dsim\GD17309	Scf_X	15784886..15785985	1	EOG09190END	CG4789	X	16800930..16802000	1	FBgn0235080	Dyak\GE17627
3136	FBgn0030793	Rai1	X	16801929..16803344	-1	FBgn0187381	Dsim\GD15720	Scf_X	15785918..15787332	-1	EOG091909MQ	Rai1	X	16801929..16803344	-1	FBgn0233210	Dyak\GE15640
3137	FBgn0030794	CG13005	X	16803650..16805754	1	FBgn0188871	Dsim\GD17310	Scf_X	15787799..15789967	1	EOG091908HX	CG13005	X	16803650..16805754	1	FBgn0235081	Dyak\GE17628
3138	FBgn0030795	ppk28	X	16806068..16808515	1	FBgn0188873	Dsim\GD17312	Scf_X	15789569..15793272	1	EOG091906A4	ppk28	X	16806068..16808515	1	FBgn0235082	Dyak\GE17629
3139	FBgn0030796	CG4829	X	16811699..16826494	1	FBgn0188874	Dsim\GD17313	Scf_X	15795352..15810578	1	EOG091904R7	CG4829	X	16811699..16826494	1	FBgn0235083	Dyak\GE17630
3140	FBgn0030797	CG13004	X	16826681..16835520	-1	FBgn0187380	Dsim\GD15719	Scf_X	15810740..15819308	-1	EOG09190GKN	CG13004	X	16826681..16835520	-1	FBgn0233209	Dyak\GE15639
3141	FBgn0030799	CG4872	X	16881347..16882790	1	FBgn0188877	Dsim\GD17316	Scf_X	15864370..15865979	1	EOG09190AFT	CG4872	X	16881347..16882790	1	FBgn0235084	Dyak\GE17631
3142	FBgn0030800	Nprl2	X	16882509..16884365	-1	FBgn0187377	Dsim\GD15716	Scf_X	15865935..15867548	-1	EOG091908RX	Nprl2	X	16882509..16884365	-1	FBgn0233206	Dyak\GE15636
3143	FBgn0030801	Rcp	X	16884581..16886612	1	FBgn0188878	Dsim\GD17317	Scf_X	15867810..15869088	1	EOG09190G0I	Rcp	X	16884581..16886612	1	FBgn0235085	Dyak\GE17632
3144	FBgn0030802	DENR	X	16885546..16886560	-1	FBgn0187376	Dsim\GD15715	Scf_X	15868760..15869800	-1	EOG09190HY5	DENR	X	16885546..16886560	-1	FBgn0233205	Dyak\GE15635
3145	FBgn0030803	CG4880	X	16886818..16888729	1	FBgn0188879	Dsim\GD17318	Scf_X	15870243..15871826	1	EOG09190AZB	CG4880	X	16886818..16888729	1	FBgn0235086	Dyak\GE17633
3146	FBgn0030804	CG13002	X	16889810..16890637	1	FBgn0188881	Dsim\GD17320	Scf_X	15872250..15874432	1	EOG09190FOM	CG13002	X	16889810..16890637	1	FBgn0235087	Dyak\GE17634
3147	FBgn0030805	wus	X	16938244..16940873	-1	FBgn0187373	Dsim\GD15712	Scf_X	15920774..15923189	-1	EOG091908QY	wus	X	16938244..16940873	-1	FBgn0233202	Dyak\GE15632
3148	FBgn0030806	CG13001	X	16941086..16942871	-1	FBgn0270860	Dsim\GD29570	Scf_X	15923426..15925097	-1	EOG09190EFJ	CG13001	X	16941086..16942871	-1	FBgn0233201	Dyak\GE15631
3149	FBgn0030807	CG13000	X	16947964..16948471	-1	FBgn0195827	Dsim\GD24492	Scf_X	15926054..15930996	-1	EOG09190KDI	CG13000	X	16947964..16948471	-1	FBgn0233200	Dyak\GE15630
3150	FBgn0030808	RhoGAP15B	X	16943290..16956234	1	FBgn0188884	Dsim\GD17324	Scf_X	15925465..15938233	1	EOG0919010V	RhoGAP15B	X	16943290..16956234	1	FBgn0235088	Dyak\GE17636
3151	FBgn0030809	Ubr1	X	16956232..16968679	-1	FBgn0187372	Dsim\GD15711	Scf_X	15939232..15950853	-1	EOG091900AS	Ubr1	X	16956232..16968679	-1	FBgn0233199	Dyak\GE15629
3152	FBgn0030812	wcy	X	17068717..17077897	-1	FBgn0187366	Dsim\GD15705	Scf_X	16069125..16077150	-1	EOG0919077S	wcy	X	17068717..17077897	-1	FBgn0233194	Dyak\GE15624
3153	FBgn0030813	CG4949	X	17078836..17081237	1	FBgn0188885	Dsim\GD17325	Scf_X	16078828..16080893	1	EOG09190F1A	CG4949	X	17078836..17081237	1	FBgn0068301	Dyak\GE17640
3154	FBgn0030814	CG4955	X	17081447..17083356	1	FBgn0188886	Dsim\GD17326	Scf_X	16081399..16083308	1	EOG091907WU	CG4955	X	17081447..17083356	1	FBgn0235092	Dyak\GE17641
3155	FBgn0030815	CG8945	X	17080423..17087675	-1	FBgn0187365	Dsim\GD15704	Scf_X	16080402..16088045	-1	EOG091901J3	CG8945	X	17080423..17087675	-1	FBgn0233193	Dyak\GE15623
3156	FBgn0030816	CG16700	X	17091854..17098488	1	FBgn0188887	Dsim\GD17327	Scf_X	16091617..16098225	1	EOG091907QC	CG16700	X	17091854..17098488	1	FBgn0235093	Dyak\GE17642
3157	FBgn0030817	CG4991	X	17091854..17104562	1	FBgn0188888	Dsim\GD17328	Scf_X	16091879..16104161	1	EOG091907SV	CG4991	X	17091854..17104562	1	FBgn0235094	Dyak\GE17643
3158	FBgn0030823	TTLL1A	X	17200726..17202598	-1	FBgn0187355	Dsim\GD15693	Scf_X	16195198..16197115	-1	EOG091906A2	TTLL1A	X	17200726..17202598	-1	FBgn0233187	Dyak\GE15616
3159	FBgn0030826	CG12995	X	17209368..17209997	-1	FBgn0187354	Dsim\GD15692	Scf_X	16203722..16204339	-1	EOG09190HW3	CG12995	X	17209368..17209997	-1	FBgn0233186	Dyak\GE15615
3160	FBgn0030828	CG5162	X	17215304..17217365	1	FBgn0188898	Dsim\GD17338	Scf_X	16209649..16211785	1	EOG091908K9	CG5162	X	17215304..17217365	1	FBgn0235103	Dyak\GE17652
3161	FBgn0030833	CG8915	X	17240468..17245001	-1	FBgn0187350	Dsim\GD15688	Scf_X	16236480..16240272	-1	EOG0919028V	CG8915	X	17240468..17245001	-1	FBgn0233178	Dyak\GE15607
3162	FBgn0030834	CG8675	X	17248372..17249502	-1	FBgn0187347	Dsim\GD15685	Scf_X	16242627..16243701	-1	EOG09190H6W	CG8675	X	17248372..17249502	-1	FBgn0233177	Dyak\GE15606
3163	FBgn0030836	CG8664	X	17280918..17282726	-1	FBgn0187344	Dsim\GD15682	Scf_X	16277822..16278969	-1	EOG09190GRR	CG8664	X	17280918..17282726	-1	FBgn0233175	Dyak\GE15604
3164	FBgn0030837	CG8661	X	17283762..17284500	-1	FBgn0187343	Dsim\GD15681	Scf_X	16279951..16280712	-1	EOG09190G15	CG8661	X	17283762..17284500	-1	FBgn0068213	Dyak\GE15603
3165	FBgn0030838	CG5445	X	17282496..17305475	1	FBgn0187327	Dsim\GD15665	Scf_X	16298815..16301522	1	EOG09190E9V	CG5445	X	17282496..17305475	1	FBgn0068291	Dyak\GE17660
3166	FBgn0030839	CG5613	X	17423591..17428735	1	FBgn0187332	Dsim\GD15670	Scf_X	16419937..16425173	1	EOG09190611	CG5613	X	17423591..17428735	1	FBgn0235117	Dyak\GE17667
3167	FBgn0030840	p-cup	X	17446350..17448774	-1	FBgn0188916	Dsim\GD17357	Scf_X	16442604..16444975	-1	EOG0919065L	p-cup	X	17446350..17448774	-1	FBgn0233164	Dyak\GE15592
3168	FBgn0030841	CG8568	X	17448990..17452543	-1	FBgn0188915	Dsim\GD17356	Scf_X	16445163..16448670	-1	EOG0919095H	CG8568	X	17448990..17452543	-1	FBgn0233163	Dyak\GE15591
3169	FBgn0030844	ppk23	X	17566552..17569228	-1	FBgn0195824	Dsim\GD24489	Scf_X	16562101..16564858	-1	EOG091904VA	ppk23	X	17566552..17569228	-1	FBgn0233159	Dyak\GE15587
3170	FBgn0030846	CG12992	X	17588865..17591706	1	FBgn0187334	Dsim\GD15672	Scf_X	16584749..16587781	1	EOG091908H3	CG12992	X	17588865..17591706	1	FBgn0067941	Dyak\GE17671
3171	FBgn0030847	CG12991	X	17579861..17599314	1	FBgn0187335	Dsim\GD15673	Scf_X	16575826..16594557	1	EOG09190FBC	CG12991	X	17579861..17599314	1	FBgn0235121	Dyak\GE17672
3172	FBgn0030850	stas	X	17623221..17627895	-1	FBgn0188913	Dsim\GD17353	Scf_X	16618685..16623196	-1	EOG09190DC9	stas	X	17623221..17627895	-1	FBgn0233157	Dyak\GE15585
3173	FBgn0030851	CG8326	X	17628164..17629492	-1	FBgn0188912	Dsim\GD17352	Scf_X	16623485..16624789	-1	EOG09190FFW	CG8326	X	17628164..17629492	-1	FBgn0233156	Dyak\GE15584
3174	FBgn0030853	ND-24	X	17632089..17633509	1	FBgn0187337	Dsim\GD15675	Scf_X	16627689..16628946	1	EOG09190DTY	ND-24	X	17632089..17633509	1	FBgn0068288	Dyak\GE17674
3175	FBgn0030854	CG8289	X	17633691..17636044	-1	FBgn0188910	Dsim\GD17350	Scf_X	16629126..16631568	-1	EOG09190C56	CG8289	X	17633691..17636044	-1	FBgn0233154	Dyak\GE15582
3176	FBgn0030855	CG5800	X	17636281..17639003	1	FBgn0187338	Dsim\GD15676	Scf_X	16631802..16634421	1	EOG091903A4	CG5800	X	17636281..17639003	1	FBgn0235123	Dyak\GE17675
3177	FBgn0030858	IntS2	X	17652761..17656818	-1	FBgn0188908	Dsim\GD17348	Scf_X	16648140..16652208	-1	EOG09190164	IntS2	X	17652761..17656818	-1	FBgn0233152	Dyak\GE15580
3178	FBgn0030859	CG12990	X	17669208..17671888	-1	FBgn0188907	Dsim\GD17347	Scf_X	16664637..16667420	-1	EOG09190C4I	CG12990	X	17669208..17671888	-1	FBgn0233151	Dyak\GE15579
3179	FBgn0030863	CG8188	X	17698917..17703024	-1	FBgn0188903	Dsim\GD17343	Scf_X	16695935..16698413	-1	EOG09190G50	CG8188	X	17698917..17703024	-1	FBgn0233148	Dyak\GE15576
3180	FBgn0030864	CG8173	X	17707401..17709653	-1	FBgn0188902	Dsim\GD17342	Scf_X	16702610..16704926	-1	EOG09190AKE	CG8173	X	17707401..17709653	-1	FBgn0233147	Dyak\GE15575
3181	FBgn0030868	CG12986	X	17819155..17819685	-1	FBgn0195822	Dsim\GD24487	Scf_X	16812369..16813178	-1	EOG09190IWE	CG12986	X	17819155..17819685	-1	FBgn0233143	Dyak\GE15571
3182	FBgn0030869	Socs16D	X	17820764..17827564	-1	FBgn0270655	Dsim\GD29365	Scf_X	16814859..16820855	-1	EOG091903DY	Socs16D	X	17820764..17827564	-1	FBgn0233142	Dyak\GE15570
3183	FBgn0030870	CG6398	X	17830828..17841705	1	FBgn0188924	Dsim\GD17365	Scf_X	16824083..16834933	1	EOG09190DWX	CG6398	X	17830828..17841705	1	FBgn0068277	Dyak\GE17688
3184	FBgn0030871	CG8142	X	17843343..17844704	-1	FBgn0187324	Dsim\GD15662	Scf_X	16836537..16837898	-1	EOG09190BJL	CG8142	X	17843343..17844704	-1	FBgn0233141	Dyak\GE15569
3185	FBgn0030872	Ucp4A	X	17844949..17848223	1	FBgn0186614	Dsim\GD14942	Scf_X	16838291..16841287	1	EOG09190B8O	Ucp4A	X	17844949..17848223	1	FBgn0235137	Dyak\GE17690
3186	FBgn0030873	CG15814	X	17848110..17850342	-1	FBgn0195821	Dsim\GD24486	Scf_X	16841430..16843698	-1	EOG09190B4L	CG15814	X	17848110..17850342	-1	FBgn0233140	Dyak\GE15568
3187	FBgn0030874	Spt7	X	17850460..17851889	1	FBgn0268592	Dsim\GD27302	Scf_X	16843718..16845197	1	EOG09190BO3	Spt7	X	17850460..17851889	1	FBgn0235138	Dyak\GE17691
3188	FBgn0030876	CG6762	X	17856974..17858610	1	FBgn0188929	Dsim\GD17370	Scf_X	16850347..16851761	1	EOG09190H8C	CG6762	X	17856974..17858610	1	FBgn0235140	Dyak\GE17693
